epsilon,sigma,loss,loss_sd,n_stable,crash_frac,violations
0.92308,0.30308,1.091565,0.067736,5,0.0,
0.92308,0.30615,1.037801,0.036399,5,0.0,
0.92308,0.30923,1.028946,0.033393,5,0.0,
0.92308,0.31231,0.929035,0.049516,5,0.0,
0.92308,0.31538,0.909001,0.060709,5,0.0,
0.92308,0.31846,0.803396,0.020276,5,0.0,
0.92308,0.32154,0.707312,0.042516,5,0.0,
0.92308,0.32462,0.612472,0.031977,5,0.0,
0.92308,0.32769,0.508872,0.021263,5,0.0,
0.92308,0.33077,0.412099,0.034679,5,0.0,
0.92308,0.33385,0.281995,0.02215,5,0.0,
0.92308,0.33692,0.132869,0.017175,5,0.0,
0.92308,0.34,0.189145,0.01864,5,0.0,
0.92308,0.34308,0.27678,0.027577,5,0.0,
0.92308,0.34615,0.445468,0.021321,5,0.0,
0.92308,0.34923,0.4456,0.13303,5,0.0,
0.92308,0.35231,0.283802,0.010875,5,0.0,
0.92308,0.35538,0.409278,0.008467,5,0.0,
0.92308,0.35846,0.602706,0.008391,5,0.0,
0.92308,0.36154,0.855065,0.013176,5,0.0,
0.92308,0.36462,1.149273,0.012719,5,0.0,
0.92308,0.36769,1.49207,0.005985,5,0.0,
0.92308,0.37077,1.88882,0.007291,5,0.0,
0.92308,0.37385,2.36309,0.004348,5,0.0,
0.92308,0.37692,2.898364,0.01053,5,0.0,
0.92308,0.38,3.524681,0.008735,5,0.0,
0.92308,0.38308,4.22514,0.009628,5,0.0,
0.92308,0.38615,5.021057,0.004946,5,0.0,
0.92308,0.38923,5.929066,0.007012,5,0.0,
0.92308,0.39231,6.980962,0.004655,5,0.0,
0.92308,0.39538,8.168328,0.00505,5,0.0,
0.92308,0.39846,9.494659,0.006963,5,0.0,
0.92308,0.40154,10.977804,0.007989,5,0.0,
0.92308,0.40462,12.62358,0.005774,5,0.0,
0.92308,0.40769,14.466532,0.007267,5,0.0,
0.92308,0.41077,16.501322,0.004611,5,0.0,
0.92308,0.41385,18.760897,0.00638,5,0.0,
0.92308,0.41692,21.242405,0.004154,5,0.0,
0.92308,0.42,23.992577,0.006293,5,0.0,
0.96154,0.3,1.085239,0.032325,5,0.0,
0.96154,0.30308,1.037306,0.068144,5,0.0,
0.96154,0.30615,1.056379,0.044012,5,0.0,
0.96154,0.30923,1.003647,0.032315,5,0.0,
0.96154,0.31231,0.960059,0.065772,5,0.0,
0.96154,0.31538,0.923689,0.044077,5,0.0,
0.96154,0.31846,0.838097,0.023952,5,0.0,
0.96154,0.32154,0.739921,0.013606,5,0.0,
0.96154,0.32462,0.643422,0.017532,5,0.0,
0.96154,0.32769,0.538873,0.043022,5,0.0,
0.96154,0.33077,0.476986,0.041883,5,0.0,
0.96154,0.33385,0.303413,0.059681,5,0.0,
0.96154,0.33692,0.155392,0.024522,5,0.0,
0.96154,0.34,0.11156,0.037607,5,0.0,
0.96154,0.34308,0.201683,0.017557,5,0.0,
0.96154,0.34615,0.395593,0.021851,5,0.0,
0.96154,0.34923,0.444625,0.037965,5,0.0,
0.96154,0.35231,0.375734,0.004527,5,0.0,
0.96154,0.35538,0.368706,0.015543,5,0.0,
0.96154,0.35846,0.561457,0.019838,5,0.0,
0.96154,0.36154,0.814615,0.00868,5,0.0,
0.96154,0.36462,1.121822,0.016836,5,0.0,
0.96154,0.36769,1.487198,0.009015,5,0.0,
0.96154,0.37077,1.903429,0.009517,5,0.0,
0.96154,0.37385,2.398374,0.011096,5,0.0,
0.96154,0.37692,2.961075,0.007366,5,0.0,
0.96154,0.38,3.604755,0.003208,5,0.0,
0.96154,0.38308,4.328803,0.007389,5,0.0,
0.96154,0.38615,5.167947,0.00639,5,0.0,
0.96154,0.38923,6.096142,0.008024,5,0.0,
0.96154,0.39231,7.168432,0.004926,5,0.0,
0.96154,0.39538,8.401413,0.005034,5,0.0,
0.96154,0.39846,9.787125,0.006184,5,0.0,
0.96154,0.40154,11.329468,0.005515,5,0.0,
